GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2021,2021,2021,SEAR,South-East Asia,BGD,Bangladesh,,,,7294.0,7294,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2004,2004,2004,SEAR,South-East Asia,BGD,Bangladesh,,,,6.616721679,6.62 [2.84-10.71],2.844464055,10.70667798
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2016,2016,2016,SEAR,South-East Asia,BGD,Bangladesh,,,,993589.0,993 589,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2019,2019,2019,SEAR,South-East Asia,BGD,Bangladesh,,,,0.264450191,0.26 [0.12-0.44],0.123785196,0.438874786
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2024,2024,2024,SEAR,South-East Asia,BGD,Bangladesh,,,,6264.0,6264,,
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2015,2015,2015,SEAR,South-East Asia,BGD,Bangladesh,,,,39719.0,39 719,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2014,2014,2014,SEAR,South-East Asia,BGD,Bangladesh,,,,0.939853985,0.94 [0.43-1.49],0.434682468,1.486144115
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2011,2011,2011,SEAR,South-East Asia,BGD,Bangladesh,,,,0.93641161,0.94 [0.42-1.50],0.422895566,1.504299942
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2003,2003,2003,SEAR,South-East Asia,BGD,Bangladesh,,,,6.616724627,6.62 [2.87-10.43],2.870286685,10.43428854
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2016,2016,2016,SEAR,South-East Asia,BGD,Bangladesh,,,,573540.0,573 540,,
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2021,2021,2021,SEAR,South-East Asia,BGD,Bangladesh,,,,4992.0,4992,,
