ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Khulna,440896,Women who want no more children,84.8,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360006,1360060,Region,Khulna,189004,Living children: 4,0,0,PRDESLWWNM,BDDHS1994360006,1993-94,DHS,,135,,,1
BGD,Khulna,4607817,Women who want no more children,94.5,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360006,1360060,Region,Khulna,189005,Living children: 5,0,0,PRDESLWWNM,BDDHS1994360006,1993-94,DHS,,93,,,1
BGD,Khulna,1067358,Women who want no more children,83.2,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360006,1360060,Region,Khulna,189006,Living children: 6+,0,0,PRDESLWWNM,BDDHS1994360006,1993-94,DHS,,126,,,1
BGD,Rajshahi/Rangpur,7405060,Women who want no more children,61.2,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360007,1360070,Region,Rajshahi/Rangpur,1000,Total,0,1,PRDESLWWNM,BDDHS1994360007,1993-94,DHS,,2384,,,1
BGD,Rajshahi/Rangpur,7296318,Women who want no more children,2.5,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360007,1360070,Region,Rajshahi/Rangpur,189000,Living children: 0,0,0,PRDESLWWNM,BDDHS1994360007,1993-94,DHS,,214,,,1
BGD,Rajshahi/Rangpur,5663954,Women who want no more children,11.6,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360007,1360070,Region,Rajshahi/Rangpur,189001,Living children: 1,0,0,PRDESLWWNM,BDDHS1994360007,1993-94,DHS,,490,,,1
BGD,Rajshahi/Rangpur,7652803,Women who want no more children,68.5,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360007,1360070,Region,Rajshahi/Rangpur,189002,Living children: 2,0,0,PRDESLWWNM,BDDHS1994360007,1993-94,DHS,,538,,,1
BGD,Rajshahi/Rangpur,7350453,Women who want no more children,88,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360007,1360070,Region,Rajshahi/Rangpur,189003,Living children: 3,0,0,PRDESLWWNM,BDDHS1994360007,1993-94,DHS,,423,,,1
BGD,Rajshahi/Rangpur,1077049,Women who want no more children,93.2,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360007,1360070,Region,Rajshahi/Rangpur,189004,Living children: 4,0,0,PRDESLWWNM,BDDHS1994360007,1993-94,DHS,,287,,,1
BGD,Rajshahi/Rangpur,4054745,Women who want no more children,91.8,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360007,1360070,Region,Rajshahi/Rangpur,189005,Living children: 5,0,0,PRDESLWWNM,BDDHS1994360007,1993-94,DHS,,195,,,1
