ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,1297388,Women with mild anemia,26.5,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MLD,114603020,I,360001,1360010,Region,Barishal,0,,0,1,ANANEMWMLD,BDDHS2011360001,2011,DHS,306,628,,,1
BGD,Chattogram/Sylhet,7076328,Women with mild anemia,23.3,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MLD,114603020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,ANANEMWMLD,BDDHS2011360002,2011,DHS,1301,1562,,,
BGD,Chattogram,3354622,Women with mild anemia,23.7,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MLD,114603020,I,360003,1360030,Region,..Chattogram,0,,0,1,ANANEMWMLD,BDDHS2011360003,2011,DHS,991,888,,,1
BGD,Sylhet,1290475,Women with mild anemia,21.9,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MLD,114603020,I,360004,1360040,Region,..Sylhet,0,,0,1,ANANEMWMLD,BDDHS2011360004,2011,DHS,310,674,,,1
BGD,Dhaka before 2015,7130537,Women with mild anemia,25.8,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MLD,114603020,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,ANANEMWMLD,BDDHS2011360005,2011,DHS,1850,982,,,1
BGD,Khulna,4487347,Women with mild anemia,22.7,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MLD,114603020,I,360006,1360060,Region,Khulna,0,,0,1,ANANEMWMLD,BDDHS2011360006,2011,DHS,708,872,,,1
BGD,Rajshahi/Rangpur,38292,Women with mild anemia,27.7,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MLD,114603020,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,ANANEMWMLD,BDDHS2011360007,2011,DHS,1511,1622,,,
BGD,Rangpur,1282878,Women with mild anemia,29.6,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MLD,114603020,I,360008,1360080,Region,..Rangpur,0,,0,1,ANANEMWMLD,BDDHS2011360008,2011,DHS,664,791,,,1
BGD,Rajshahi,7033598,Women with mild anemia,26.2,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MLD,114603020,I,360009,1360090,Region,..Rajshahi,0,,0,1,ANANEMWMLD,BDDHS2011360009,2011,DHS,847,831,,,1
BGD,Barishal,1297389,Women with moderate anemia,19,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MOD,114603030,I,360001,1360010,Region,Barishal,0,,0,1,ANANEMWMOD,BDDHS2011360001,2011,DHS,306,628,,,1
