GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2014,2014,2014,SEAR,South-East Asia,BGD,Bangladesh,SEX,SEX_MLE,Male,34.9,34.9 [31.8-38.0],31.8,38.0
NUT_BF_EBF,Exclusive breastfeeding under six months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/exclusive-breastfeeding-under-six-months,1994,1994,1994,SEAR,South-East Asia,BGD,Bangladesh,AGEGROUP,AGEGROUP_YEARSALL,Total (All ages),46.0,46.0,,
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2004,2004,2004,SEAR,South-East Asia,BGD,Bangladesh,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,38.7,38.7 [35.2-42.4],35.2,42.4
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2007,2007,2007,SEAR,South-East Asia,BGD,Bangladesh,SEX,SEX_FMLE,Female,57.9,57.9 [50.1-65.4],50.1,65.4
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2001,2001,2001,SEAR,South-East Asia,BGD,Bangladesh,WEALTHDECILE,WEALTHDECILE_TOTL,Total,12.7,12.7,,
NUT_CF_ISSSF,"Introduction of solid, semi-solid or soft foods 6-8 months",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/introduction-of-solid--semi-solid-or-soft-foods-6-8-months,2011,2011,2011,SEAR,South-East Asia,BGD,Bangladesh,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,67.3,67.3 [60.3-73.7],60.3,73.7
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-overweight-prevalence,2000,2000,2000,SEAR,South-East Asia,BGD,Bangladesh,SEX,SEX_FMLE,Female,0.6,0.6 [0.3-1.2],0.3,1.2
NUT_BF_EBF,Exclusive breastfeeding under six months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/exclusive-breastfeeding-under-six-months,2018,2018,2018,SEAR,South-East Asia,BGD,Bangladesh,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,65.3,65.3 [61.0-69.5],61.0,69.5
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2000,2000,2000,SEAR,South-East Asia,BGD,Bangladesh,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP40,Wealth - Top 40%,2.0,2.0 [1.4-2.9],1.4,2.9
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2000,2000,2000,SEAR,South-East Asia,BGD,Bangladesh,SEX,SEX_MLE,Male,45.7,45.7 [39.4-52.1],39.4,52.1
